Date,Underlying,C280,C290,C300,C310,C320,C330,C340,C350,C360,P280,P290,P300,P310,P320,P330,P340,P350,P360
2021-03-18,230.72,,8.45,6.8,5.5,4.7,,,,,,,,,93.64,,,,
2021-03-19,230.35,,8.95,6.7,5.35,4.7,,,,,,,,,,,,,
2021-03-22,235.99,11.28,9.05,7.15,,5.0,,,,2.19,,,,,92.29,,,,
2021-03-23,237.58,10.8,9.5,7.6,6.18,,,,2.74,,,,,,,,,,
2021-03-24,235.46,10.1,,6.6,,4.11,,,2.33,,,,,,,,105.5,,
2021-03-25,232.34,9.45,7.5,5.85,5.15,,3.05,,,,,,,,90.45,101.0,109.55,,
2021-03-26,236.48,9.65,,6.1,,,,,,1.72,,,,,,,108.55,,
2021-03-29,235.24,9.55,,6.25,4.5,3.75,,,,1.67,54.35,,70.95,,90.0,97.95,107.35,,126.9
2021-03-30,231.85,8.53,,5.4,4.3,3.5,,,,1.52,,,73.72,,,100.75,,,
2021-03-31,235.77,10.79,8.35,6.05,4.7,,,,2.1,1.7,53.29,,68.95,,,96.7,,,
2021-04-01,242.35,10.75,8.4,6.8,,4.26,,,2.22,1.79,49.42,,65.45,,,,,,
2021-04-05,249.07,12.98,10.45,8.37,6.56,4.95,4.2,,,2.15,,,,,,,,,
2021-04-06,247.86,12.97,,8.05,,5.05,4.0,,,,,,,,,,,,
2021-04-07,249.9,13.28,10.4,8.45,6.75,5.38,4.4,,,2.27,,,58.49,67.2,,,,102.31,112.59
2021-04-08,253.25,14.35,11.83,9.41,7.42,6.0,4.75,3.8,2.96,2.77,,48.97,56.83,64.38,,,90.81,100.3,109.24
2021-04-09,255.85,15.2,12.9,10.3,7.9,6.45,5.0,3.97,3.25,2.57,40.83,48.29,,63.32,,,89.73,,107.88
2021-04-12,255.91,16.2,12.97,10.29,8.3,6.66,,4.15,3.37,,,,,,,,,,
2021-04-13,258.49,17.1,13.3,10.8,,6.88,5.55,,3.55,,,,,,,78.15,,,
2021-04-14,255.59,15.6,12.75,9.95,8.3,6.6,,,,,,,,,,,,,
2021-04-15,259.5,16.5,13.57,10.76,8.49,6.79,5.32,,,,,,52.4,,,,85.4,,
2021-04-16,260.74,16.93,13.64,10.94,8.59,6.4,,4.25,3.28,2.64,,43.82,,,,,,92.75,
2021-04-19,258.74,16.42,,10.48,8.35,6.5,,4.13,,2.63,36.85,,,60.22,68.09,,,94.75,
2021-04-20,258.26,16.4,13.4,10.53,,6.4,,4.1,,2.7,37.65,,53.29,61.22,69.41,,,95.35,105.55
2021-04-21,260.58,17.3,,11.0,8.5,,,4.21,,,,,51.11,,,,84.31,,102.65
2021-04-22,257.17,15.53,,10.0,7.98,,,3.95,,2.77,,,52.7,,,,86.23,,
2021-04-23,261.15,16.65,,10.7,,6.62,,,,,,,50.66,,,,83.88,,
2021-04-26,261.55,16.8,13.25,10.63,,,,,3.2,,35.86,,,,,,,,
2021-04-27,261.97,17.8,14.3,11.1,9.6,,,,,,36.0,42.65,49.9,,,74.25,83.15,,
2021-04-28,254.56,14.0,11.25,8.9,6.8,5.12,4.23,3.25,2.71,,40.1,,54.2,,,,88.07,97.5,
2021-04-29,252.51,13.64,9.95,8.26,6.78,5.11,,3.01,2.46,2.21,,48.75,,,,,,,
2021-04-30,252.18,12.98,10.65,8.25,6.65,,,3.3,,,,,,66.64,,,,,112.37
2021-05-03,251.86,12.8,,7.95,,,,3.4,,2.13,41.6,48.4,,65.05,,,91.15,,
2021-05-04,247.79,11.17,,6.76,5.37,,,2.62,2.06,1.8,,,60.18,69.55,,,,105.22,114.12
2021-05-05,246.47,10.77,8.35,6.6,5.0,4.1,3.0,,,1.44,,,61.1,,,,,103.74,
2021-05-06,249.73,10.85,8.5,6.75,5.0,3.8,3.25,,,,,,,,,,,,
2021-05-07,252.46,12.25,,7.34,5.79,4.4,,2.75,2.13,1.75,,,55.01,64.26,,,,99.54,109.81
2021-05-10,247.18,10.63,8.45,6.45,4.98,3.89,3.15,,,1.55,,,58.49,,,,,103.85,
2021-05-11,246.23,10.62,7.67,6.29,5.0,3.95,3.1,,1.9,,,53.75,,69.65,78.75,88.65,,106.85,
2021-05-12,239.0,9.2,7.35,5.5,4.45,3.5,,,,,,,66.8,75.8,,,,,
2021-05-13,243.03,10.75,7.75,6.1,,,,,,,47.05,,63.1,,81.3,,100.5,,
2021-05-14,248.15,11.2,,6.6,5.05,3.7,3.1,,,1.51,,,,,,,,,
2021-05-17,245.18,9.85,7.4,5.7,,3.38,,,,,45.2,,59.85,,,,,,
2021-05-18,243.08,10.17,,5.5,4.55,,2.73,,1.67,,,,,,,,,,
2021-05-19,243.12,9.2,7.2,5.5,,,,,,1.24,,,,,82.3,91.2,100.8,,
2021-05-20,246.48,11.05,8.6,6.6,5.1,3.77,,,1.85,,,,,68.25,,,,,114.64
2021-05-21,245.17,,8.0,6.09,,,,,,,,,,,,,,,
2021-05-24,250.78,11.35,8.7,6.89,4.9,3.95,,2.3,1.76,,,,56.92,64.45,,,,101.98,110.61
2021-05-25,251.72,,,6.75,5.04,,,,,,,,,,,,,,
2021-05-26,251.49,11.34,8.76,,5.08,,,,,,,,,,,,,,
2021-05-27,249.31,10.65,8.0,6.0,4.72,,,,,,,,,,,,,,
2021-05-28,249.68,10.81,,6.25,,,,,1.65,,,47.36,,,,,,,
2021-06-01,247.4,9.5,7.32,5.5,,,2.4,,,,,,,,,,,,
2021-06-02,247.3,8.9,6.55,4.82,4.13,2.68,2.06,1.85,,1.02,,,,,,,,,
2021-06-03,245.71,8.76,6.55,4.5,3.45,2.63,,,,,,,,,,,,,
2021-06-04,250.79,10.32,7.69,5.9,4.05,2.99,2.47,,1.5,,,,,,,,,,
2021-06-07,253.81,10.9,8.3,6.2,4.6,3.45,,1.93,,1.25,,,,,,,,,
2021-06-08,252.57,11.15,8.3,6.33,4.65,3.6,,,,,,,,,,,,,
2021-06-09,253.59,11.65,,6.56,4.9,3.7,2.88,,,1.36,,,,,,,,,
2021-06-10,257.24,12.65,,6.9,5.0,3.92,,,,,,,,,,,,,
2021-06-11,257.89,,9.29,7.03,,3.85,,,,,,,,,,,,,
2021-06-14,259.89,13.0,9.34,6.85,5.17,3.83,,,,,34.5,,,,,,,,
2021-06-15,258.36,12.75,9.65,6.95,5.45,,,2.31,,,,,,,,,,,
2021-06-16,257.38,,9.35,7.0,,3.85,,,,,,,,,,,,,
2021-06-17,260.9,13.5,10.47,7.82,5.87,4.28,,2.5,,,,,,,,,,,
2021-06-18,259.43,,10.4,7.8,,4.35,3.4,,,,,,,,,,,,
2021-06-21,262.63,14.04,10.5,7.93,6.0,4.38,,,,,,,45.7,,,,79.78,89.05,
2021-06-22,265.51,15.12,11.25,8.7,6.3,4.75,,,,,30.3,,,,,68.95,,,
2021-06-23,265.275,14.54,11.54,8.25,6.49,4.5,,,,,29.36,,43.71,,,,,,95.6
2021-06-24,266.69,15.22,11.12,8.1,6.3,4.35,,,2.02,,,,41.7,,,,,,
2021-06-25,265.02,14.35,10.5,7.6,5.7,4.1,,,1.78,,,,,,,,,,
2021-06-28,268.72,15.3,11.69,9.0,6.36,4.81,3.55,,,,27.45,33.75,40.75,,,,,,
2021-06-29,271.4,16.99,13.15,10.0,7.3,5.41,3.85,2.96,2.12,,,33.42,39.95,,,,,,
2021-06-30,270.9,16.75,12.7,9.55,7.1,5.36,,2.92,,,26.28,31.95,,,54.55,,,,
